##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	27379_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	392524239
Sequences flagged as poor quality	0
Sequence length	151
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.368501434124173	32.0	32.0	32.0	32.0	32.0
2	31.6701673523912	32.0	32.0	32.0	32.0	32.0
3	36.12508705226736	37.0	37.0	37.0	32.0	37.0
4	36.427502536983454	37.0	37.0	37.0	37.0	37.0
5	36.58497327855465	37.0	37.0	37.0	37.0	37.0
6	41.0835491308347	42.0	42.0	42.0	37.0	42.0
7	41.20811291860119	42.0	42.0	42.0	42.0	42.0
8	41.27896926130975	42.0	42.0	42.0	42.0	42.0
9	41.289153259144335	42.0	42.0	42.0	42.0	42.0
10-14	41.30446466772209	42.0	42.0	42.0	42.0	42.0
15-19	41.319171859855516	42.0	42.0	42.0	42.0	42.0
20-24	41.290414389925104	42.0	42.0	42.0	42.0	42.0
25-29	41.178031531448944	42.0	42.0	42.0	42.0	42.0
30-34	41.07179850159521	42.0	42.0	42.0	42.0	42.0
35-39	41.01096715048978	42.0	42.0	42.0	42.0	42.0
40-44	40.961365774407625	42.0	42.0	42.0	39.0	42.0
45-49	40.9068298093051	42.0	42.0	42.0	37.0	42.0
50-54	40.83110546811352	42.0	42.0	42.0	37.0	42.0
55-59	40.75317394806795	42.0	42.0	42.0	37.0	42.0
60-64	40.71558282595639	42.0	42.0	42.0	37.0	42.0
65-69	40.6364674957054	42.0	42.0	42.0	37.0	42.0
70-74	40.56988134126412	42.0	42.0	42.0	37.0	42.0
75-79	40.308178625880984	42.0	42.0	42.0	37.0	42.0
80-84	40.536284182440006	42.0	42.0	42.0	37.0	42.0
85-89	40.4477597593661	42.0	42.0	42.0	37.0	42.0
90-94	40.35899543773142	42.0	42.0	42.0	37.0	42.0
95-99	40.27479564083684	42.0	42.0	42.0	37.0	42.0
100-104	40.15988437289856	42.0	42.0	42.0	37.0	42.0
105-109	40.04177354866485	42.0	42.0	42.0	37.0	42.0
110-114	39.87534963261212	42.0	42.0	42.0	37.0	42.0
115-119	39.75831685696231	42.0	42.0	42.0	37.0	42.0
120-124	39.603364211095254	42.0	42.0	42.0	32.0	42.0
125-129	39.44072734830523	42.0	42.0	42.0	32.0	42.0
130-134	39.22938900647101	42.0	42.0	42.0	32.0	42.0
135-139	38.989304812332875	42.0	42.0	42.0	32.0	42.0
140-144	38.6916640834504	42.0	38.0	42.0	32.0	42.0
145-149	38.39127447311604	42.0	37.0	42.0	30.0	42.0
150-151	37.05026044009476	42.0	34.5	42.0	24.5	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.04664880688375206
1101	2	-0.16745095905900342
1101	3	-0.1312064490281415
1101	4	-0.11274349327989341
1101	5	-0.0922299790357215
1101	6	-0.22588680039556408
1101	7	-0.17608667925125587
1101	8	-0.1697193652958262
1101	9	-0.05220365230427859
1101	10-14	-0.0944504967180606
1101	15-19	-0.15033062849879997
1101	20-24	-0.10798677978750248
1101	25-29	-0.18437875428509898
1101	30-34	-0.1993095081371763
1101	35-39	-0.194612889280954
1101	40-44	-0.1791033000366511
1101	45-49	-0.23109267724436933
1101	50-54	-0.2562665792350245
1101	55-59	-0.19090773709470454
1101	60-64	-0.1921506503469672
1101	65-69	-0.2488857621245728
1101	70-74	-0.10856065675555016
1101	75-79	-0.21297140953854665
1101	80-84	-0.16401667793584807
1101	85-89	-0.07715919958916828
1101	90-94	-0.10042844738114098
1101	95-99	-0.20016851083614284
1101	100-104	-0.16060770544374492
1101	105-109	-0.28782073452214263
1101	110-114	-0.19489068010796018
1101	115-119	-0.1520916156684038
1101	120-124	-0.20306694781592682
1101	125-129	-0.2348686747618416
1101	130-134	-0.2296460033121832
1101	135-139	-0.03189219403145671
1101	140-144	-0.06809545468524902
1101	145-149	0.07039046112338809
1101	150-151	-0.08675046746155601
1102	1	0.08481281446817235
1102	2	0.023845058327630397
1102	3	0.07872626252043347
1102	4	0.053798101204428406
1102	5	0.07116550743315031
1102	6	0.12632479041570122
1102	7	0.10437155376381213
1102	8	0.026979270645796305
1102	9	0.0946646460375149
1102	10-14	0.08668023001889935
1102	15-19	0.06371092287260893
1102	20-24	0.07239261310094491
1102	25-29	0.09981303284698839
1102	30-34	0.13354615245739865
1102	35-39	0.18131402312511824
1102	40-44	0.16447567206157032
1102	45-49	0.18352129652623006
1102	50-54	0.1966059083868501
1102	55-59	0.23450700639026678
1102	60-64	0.2188357157196279
1102	65-69	0.2865044011593483
1102	70-74	0.2975355510922455
1102	75-79	0.3054547017617395
1102	80-84	0.2156751681404785
1102	85-89	0.30053390598408924
1102	90-94	0.3196515836805389
1102	95-99	0.3834550080941881
1102	100-104	0.422795183449594
1102	105-109	0.47075639304660655
1102	110-114	0.5357860937293637
1102	115-119	0.5609395152513983
1102	120-124	0.6023454406919839
1102	125-129	0.6716152972380058
1102	130-134	0.742690846331449
1102	135-139	0.8290876738137811
1102	140-144	1.0337141258319988
1102	145-149	1.1626300375304126
1102	150-151	1.436202941664952
1103	1	0.017926907936182346
1103	2	0.04106465618171384
1103	3	0.16089613111811474
1103	4	0.10282563487572105
1103	5	0.06686541142281044
1103	6	0.09583847786827704
1103	7	0.07150077068232719
1103	8	0.07611612213114682
1103	9	0.08840188153643425
1103	10-14	0.11370486689936854
1103	15-19	0.08679149729166369
1103	20-24	0.10049905344828858
1103	25-29	0.12100860578638617
1103	30-34	0.13505436838416074
1103	35-39	0.18171347002758154
1103	40-44	0.18521387303442083
1103	45-49	0.24053060016795058
1103	50-54	0.2511770122033141
1103	55-59	0.28653656040561515
1103	60-64	0.2662202696437248
1103	65-69	0.3095574809211499
1103	70-74	0.3450567546608667
1103	75-79	0.4119689591299789
1103	80-84	0.3750565240734929
1103	85-89	0.42519645949494844
1103	90-94	0.4525994478408393
1103	95-99	0.487409130881268
1103	100-104	0.5538995780850584
1103	105-109	0.6167749652360541
1103	110-114	0.7152435649566797
