##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	27379_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	392524239
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.50817007761908	32.0	32.0	32.0	27.0	32.0
2	30.9063331704211	32.0	32.0	32.0	27.0	32.0
3	34.8326418817667	37.0	37.0	37.0	32.0	37.0
4	35.44497620183909	37.0	37.0	37.0	32.0	37.0
5	35.69671739431103	37.0	37.0	37.0	32.0	37.0
6	39.83802080563998	42.0	42.0	42.0	37.0	42.0
7	39.91023825664942	42.0	42.0	42.0	37.0	42.0
8	40.06226326063904	42.0	42.0	42.0	37.0	42.0
9	40.29669679329026	42.0	42.0	42.0	37.0	42.0
10-14	40.30393304042557	42.0	42.0	42.0	37.0	42.0
15-19	40.220183798127174	42.0	42.0	42.0	37.0	42.0
20-24	40.01173473213205	42.0	42.0	42.0	37.0	42.0
25-29	39.853074991376516	42.0	42.0	42.0	37.0	42.0
30-34	39.68596492865247	42.0	42.0	42.0	35.0	42.0
35-39	39.54292020778875	42.0	42.0	42.0	32.0	42.0
40-44	39.35031419906784	42.0	42.0	42.0	32.0	42.0
45-49	39.03471296864294	42.0	42.0	42.0	32.0	42.0
50-54	38.779097019279874	42.0	42.0	42.0	32.0	42.0
55-59	38.64060764104813	42.0	42.0	42.0	32.0	42.0
60-64	38.466928750863715	42.0	38.0	42.0	31.0	42.0
65-69	38.31527654321495	42.0	37.0	42.0	27.0	42.0
70-74	38.137538614016655	42.0	37.0	42.0	27.0	42.0
75-79	37.82543178282552	42.0	37.0	42.0	27.0	42.0
80-84	38.20342887308929	42.0	37.0	42.0	27.0	42.0
85-89	38.05826964841272	42.0	37.0	42.0	27.0	42.0
90-94	37.82662728963344	42.0	37.0	42.0	27.0	42.0
95-99	37.49979073470671	42.0	37.0	42.0	22.0	42.0
100-104	37.1475989129935	42.0	37.0	42.0	22.0	42.0
105-109	36.69912344750766	42.0	37.0	42.0	22.0	42.0
110-114	36.2415486005184	42.0	34.0	42.0	22.0	42.0
115-119	35.77080967068635	42.0	32.0	42.0	19.8	42.0
120-124	35.16800108285797	42.0	32.0	42.0	11.0	42.0
125-129	34.56925779098192	40.0	32.0	42.0	11.0	42.0
130-134	33.92092759550577	37.0	30.0	42.0	11.0	42.0
135-139	33.23629983879798	37.0	27.0	42.0	11.0	42.0
140-144	32.535329105115466	37.0	27.0	42.0	11.0	42.0
145-149	31.911528810836064	37.0	27.0	42.0	11.0	42.0
150-151	29.432487341246713	32.0	19.0	39.5	11.0	42.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.5759574678612545
1101	2	0.4878529290069338
1101	3	0.7966731096345399
1101	4	0.6219780216676938
1101	5	0.46723960613935844
1101	6	0.7601435864168806
1101	7	0.6996130300899281
1101	8	0.7124600879338061
1101	9	0.45047400420944683
1101	10-14	0.44790311266200433
1101	15-19	0.42494260993928634
1101	20-24	0.48012642700144426
1101	25-29	0.6860811761001671
1101	30-34	0.8136762722188635
1101	35-39	0.8400014988240301
1101	40-44	0.7694134108452673
1101	45-49	1.1804019997621396
1101	50-54	1.3519678625996931
1101	55-59	1.2578858485337463
1101	60-64	1.2452390957409065
1101	65-69	1.1844639217735278
1101	70-74	1.1749536106498084
1101	75-79	1.068797789854706
1101	80-84	0.9651982901393552
1101	85-89	1.1147237618527583
1101	90-94	0.9463450694709294
1101	95-99	1.0771750737427723
1101	100-104	1.2382563590524285
1101	105-109	1.280938641124088
1101	110-114	1.5708620828362214
1101	115-119	1.6246431951080496
1101	120-124	1.76345812127294
1101	125-129	1.8650504024324235
1101	130-134	1.9284260625642347
1101	135-139	2.358960186809476
1101	140-144	2.1896385398354
1101	145-149	2.0928432109418615
1101	150-151	2.247955624143888
1102	1	0.7525840199749574
1102	2	0.6495741081154733
1102	3	1.0955842601996224
1102	4	0.7881455475495756
1102	5	0.6402579469385756
1102	6	1.0061049097032182
1102	7	1.0328377934724386
1102	8	0.9624213637264134
1102	9	0.768984803945358
1102	10-14	0.7487338163343509
1102	15-19	0.8031360546108246
1102	20-24	0.8963727205715131
1102	25-29	0.9718934041575835
1102	30-34	1.0694864235327373
1102	35-39	1.1543609446870775
1102	40-44	1.2489533356107856
1102	45-49	1.507482931271511
1102	50-54	1.625895646904013
1102	55-59	1.6719035687016017
1102	60-64	1.7604832659115175
1102	65-69	1.731790901420979
1102	70-74	1.8347670484716758
1102	75-79	1.8239002840085945
1102	80-84	1.6055921383561795
1102	85-89	1.6829537303043125
1102	90-94	1.639408100764662
1102	95-99	1.8400915447121307
1102	100-104	1.9505945149167943
1102	105-109	2.0512666885672317
1102	110-114	2.310163069089569
1102	115-119	2.2493329914155
1102	120-124	2.61758293119545
1102	125-129	2.7085949291182345
1102	130-134	2.899630436653844
1102	135-139	3.2930706936933305
1102	140-144	3.2784528497007344
1102	145-149	3.2405996296625865
1102	150-151	3.1808484521851987
1103	1	0.6856171869195649
1103	2	0.6600458678446977
1103	3	1.0942540008891157
1103	4	0.8554201593258668
1103	5	0.6454834254424995
1103	6	0.9736334805780302
1103	7	1.0433967730692686
1103	8	1.0031925416700105
1103	9	0.7784801567424395
1103	10-14	0.7591232780378334
1103	15-19	0.8254590977015468
1103	20-24	0.9443114787544289
1103	25-29	0.9750767926349297
1103	30-34	1.084442903753093
1103	35-39	1.1579895747785827
1103	40-44	1.276814352511515
1103	45-49	1.5135402634343222
1103	50-54	1.6811968663240648
1103	55-59	1.693063485181682
1103	60-64	1.7917128584225424
1103	65-69	1.7924577631750793
1103	70-74	1.9188457471902538
1103	75-79	1.8995753800576907
1103	80-84	1.8063478029163207
1103	85-89	1.8453211366446638
1103	90-94	2.004672108063332
1103	95-99	2.1511639189539054
1103	100-104	2.376899795539906
1103	105-109	2.6894427629179276
1103	110-114	2.815233500697296
1103	115-119	3.1173148747182893
1103	120-124	3.265135927420232
1103	125-129	3.450551435387119
1103	130-134	3.8603642398397113
1103	135-139	4.119397578311229
1103	140-144	4.402188910044238
1103	145-149	4.496297553570468
1103	150-151	4.5850289820379935
1104	1	0.6442435363609214
1104	2	0.6564181796390827
1104	3	1.0020425250113547
1104	4	0.8011855288511924
1104	5	0.6318805227841082
1104	6	0.996328688358112
1104	7	1.0409567212067614
1104	8	0.8982608638764731
1104	9	0.7411575139508031
1104	10-14	0.7360345613677097
1104	15-19	0.7888729198700659
1104	20-24	0.8665200211600705
1104	25-29	0.9530033487922864
1104	30-34	1.028532527847723
1104	35-39	1.1367315519983023
1104	40-44	1.2199214007498682
1104	45-49	1.4656183727463343
1104	50-54	1.6410772834406515
1104	55-59	1.672084306447033
1104	60-64	1.7636216408455994
1104	65-69	1.7388471712195468
1104	70-74	1.834458046740032
1104	75-79	1.7937407200698914
1104	80-84	1.7127733185230767
1104	85-89	1.758171988199102
1104	90-94	1.8401503406963613
1104	95-99	2.0371517402111365
1104	100-104	2.1702317540154965
1104	105-109	2.3706712474879126
1104	110-114	2.3614023952817575
1104	115-119	2.6701221545828275
1104	120-124	2.832710467773495
1104	125-129	2.9701659075185773
1104	130-134	3.2176201195931995
1104	135-139	3.674213690221798
1104	140-144	3.7003726882846806
1104	145-149	3.689419428168467
1104	150-151	3.8771902628170984
1105	1	0.7176230117316749
1105	2	0.5991241299111643
1105	3	0.9494411426506346
1105	4	0.7101416534437632
1105	5	0.5156932643591574
1105	6	0.8306863539033884
1105	7	0.8860136053069851
1105	8	0.8728407876189479
1105	9	0.6557570924290914
1105	10-14	0.667175014657559
1105	15-19	0.740243246471401
1105	20-24	0.8651810891277023
1105	25-29	0.9326054051621284
1105	30-34	1.0070334411024646
1105	35-39	1.0510963079226485
1105	40-44	1.1500568768888826
1105	45-49	1.3735323592808442
1105	50-54	1.554979600131837
1105	55-59	1.6193859009262326
1105	60-64	1.672957221416901
1105	65-69	1.7107644007290475
1105	70-74	1.8442944793614942
1105	75-79	1.835733983982962
1105	80-84	1.7542901826916264
1105	85-89	1.8075548764443283
1105	90-94	1.9177803642791886
1105	95-99	2.1499715522033753
1105	100-104	2.3298724730783533
1105	105-109	2.6429237168567496
1105	110-114	2.807996239578131
1105	115-119	3.019863820032569
1105	120-124	3.2362961196086175
1105	125-129	3.501192196349777
1105	130-134	3.8999710105228544
1105	135-139	4.1262807594714985
1105	140-144	4.308215570305023
1105	145-149	4.4725682880287145
1105	150-151	4.211436715812628
1106	1	0.594946496004944
1106	2	0.595191377716688
1106	3	0.7803388087652152
1106	4	0.6753399447717996
1106	5	0.49654978663521376
1106	6	0.870766292733876
1106	7	0.8679118792153346
1106	8	0.8404377001804662
1106	9	0.7083817981715015
1106	10-14	0.6305809080807521
1106	15-19	0.6870037465700491
1106	20-24	0.7853492559997619
1106	25-29	0.861518383708777
1106	30-34	0.9279303906274023
1106	35-39	0.9851662962254224
1106	40-44	1.0816956020650252
1106	45-49	1.2442565473975549
1106	50-54	1.4400005600644405
1106	55-59	1.4372445872105573
1106	60-64	1.5222478244051487
1106	65-69	1.587072133551814
1106	70-74	1.6839441464779128
1106	75-79	1.6240838985751367
1106	80-84	1.5246293301687714
1106	85-89	1.5713483807315
1106	90-94	1.6711041148921524
1106	95-99	1.7718300462259862
1106	100-104	1.8087532480545292
1106	105-109	2.085811208204312
1106	110-114	2.308006704067793
1106	115-119	2.281637202931435
1106	120-124	2.6207170032540077
1106	125-129	2.87549143118094
1106	130-134	2.949016981661856
1106	135-139	3.254514795328582
1106	140-144	3.4503071412613124
1106	145-149	3.5255812621677016
1106	150-151	3.556946999990192
1107	1	0.5527681217981666
1107	2	0.5709391134626465
1107	3	0.8901656053238938
1107	4	0.7695428516212246
1107	5	0.5738518540239781
1107	6	0.9313462990703982
1107	7	0.910200990394479
1107	8	0.8861472541394022
1107	9	0.7297233200764026
1107	10-14	0.7195612667125317
1107	15-19	0.7182101976921942
1107	20-24	0.8085495428101339
1107	25-29	0.9187024680514568
1107	30-34	0.9952443853737734
1107	35-39	1.0492402278551083
1107	40-44	1.162355688802954
1107	45-49	1.37048764665402
1107	50-54	1.5626751809466342
1107	55-59	1.614284726585943
1107	60-64	1.6872544792568434
1107	65-69	1.7456053517061747
1107	70-74	1.8361161367354129
1107	75-79	1.909013706530132
1107	80-84	1.7557894644792356
1107	85-89	1.7934175644180357
1107	90-94	1.960081363141498
1107	95-99	2.2094272601230642
1107	100-104	2.3733910758723553
1107	105-109	2.5885592618831836
1107	110-114	2.787062253444823
1107	115-119	2.8809903357294857
1107	120-124	3.189880738001314
1107	125-129	3.400127146796244
1107	130-134	3.6646340565482447
1107	135-139	3.927949603108445
1107	140-144	4.264758804332921
1107	145-149	4.554998057692398
1107	150-151	4.56680573613286
1108	1	0.5785924424790956
1108	2	0.5363475159406583
1108	3	0.7128458763349386
1108	4	0.6341955067676608
1108	5	0.4929134501903363
1108	6	0.7671191961157504
1108	7	0.7457164245608325
1108	8	0.7462775599517144
1108	9	0.5589098116401487
1108	10-14	0.6052051319770584
1108	15-19	0.6588476106132433
1108	20-24	0.726464346351996
1108	25-29	0.8535724317119602
1108	30-34	0.9314669649724507
1108	35-39	0.9961484373711116
1108	40-44	1.0835071095288455
1108	45-49	1.273164744595725
1108	50-54	1.3362183900260618
1108	55-59	1.4639526804168668
1108	60-64	1.5658455177253927
1108	65-69	1.56095739486247
1108	70-74	1.664168773862464
1108	75-79	1.5143064951175305
1108	80-84	1.4858370929128881
1108	85-89	1.5960616119185715
1108	90-94	1.6510286076870315
1108	95-99	1.8436506375845738
1108	100-104	1.8994706011046674
1108	105-109	2.0984319911563247
1108	110-114	2.2825640310132016
1108	115-119	2.3418901945886006
1108	120-124	2.601578722714315
1108	125-129	2.8236886565630854
1108	130-134	3.1436944487209857
1108	135-139	3.31714091680481
1108	140-144	3.5830698655805335
1108	145-149	3.657530246082647
1108	150-151	3.5367395719630004
1109	1	0.6452519551091136
1109	2	0.5549086822978353
1109	3	0.8616217639398513
1109	4	0.7154946082526834
1109	5	0.5615843577861384
1109	6	0.9008565701095108
1109	7	0.8940671260675401
1109	8	0.7997266537714083
1109	9	0.6936014842231799
1109	10-14	0.6880179399174935
1109	15-19	0.7154379467030338
1109	20-24	0.8235885890375982
1109	25-29	0.9151711720790914
1109	30-34	1.0120465931154428
1109	35-39	1.0686546962539296
1109	40-44	1.1678888510782102
1109	45-49	1.3712385361009254
1109	50-54	1.4892178730999674
1109	55-59	1.5656805655606831
1109	60-64	1.6833068212313123
1109	65-69	1.7294813622966245
1109	70-74	1.8098633976496004
1109	75-79	1.774841790543988
1109	80-84	1.6493944463888894
1109	85-89	1.7020650783488733
1109	90-94	1.8010844680690639
1109	95-99	1.8976545709172115
1109	100-104	1.9896207390958693
1109	105-109	2.2362817839033653
1109	110-114	2.4928638684800006
1109	115-119	2.5935335787903995
1109	120-124	2.805954131812193
1109	125-129	2.8432503677384986
1109	130-134	3.218194083781576
1109	135-139	3.5392947896481886
1109	140-144	3.722248162020499
1109	145-149	3.9598947928727632
1109	150-151	3.8281716288636183
1110	1	0.5005914985222049
1110	2	0.5268158336443811
1110	3	0.8177685765076745
1110	4	0.6746964218129108
1110	5	0.5402540033527075
1110	6	0.8562296572973906
1110	7	0.9023281145726045
1110	8	0.7759872565497474
1110	9	0.6857477449233969
1110	10-14	0.70225610626769
1110	15-19	0.7130340138421829
1110	20-24	0.8398048225154255
1110	25-29	0.9153437920887342
1110	30-34	1.0167194754854876
1110	35-39	1.0825875568854144
1110	40-44	1.1803378320463267
1110	45-49	1.3734125715380259
1110	50-54	1.5080262394650177
1110	55-59	1.570145342245418
1110	60-64	1.6805022250998078
1110	65-69	1.7428430745943118
1110	70-74	1.8329361572463512
1110	75-79	1.7991875286452625
1110	80-84	1.6659124038786146
1110	85-89	1.7743872245982786
1110	90-94	1.838079180864277
1110	95-99	1.9936198051665457
1110	100-104	2.1591318502592003
1110	105-109	2.29744709830932
1110	110-114	2.4759086428230574
